numColumn,seed,time,auc
1024,1585721994,2041,0.951446
1024,1585722000,3442,0.951346
1024,1585722008,2356,0.954505
1024,1585722014,2076,0.951227
1024,1585722021,2040,0.951293
1024,1585722027,3110,0.952413
1024,1585722035,2697,0.951346
1024,1585722042,2306,0.950655
1024,1585722049,2073,0.953389
1024,1585722055,1779,0.952740
1024,1585722061,2926,0.951126
1024,1585722069,2413,0.951126
1024,1585722075,2794,0.951690
1024,1585722083,2787,0.953280
1024,1585722090,2257,0.951446
1024,1585722097,2492,0.950649
1024,1585722104,2888,0.953389
1024,1585722111,2978,0.953389
1024,1585722118,2052,0.950891
1024,1585722125,1703,0.952446
1024,1585722131,2369,0.951346
