numColumn,threshold,factor,seed,auc
1024,1000,0,21015,0.936298
1024,1000,0,18942,0.936354
1024,1000,0,10041,0.936373
1024,1000,0,20262,0.936298
1024,1000,0,11573,0.936354
1024,1000,0,4978,0.936289
1024,1000,0,6576,0.935285
1024,1000,0,28037,0.935234
1024,1000,0,18953,0.936289
1024,1000,0,18789,0.939273
1024,1000,0,30151,0.936289
1024,1000,0.2,21015,0.945005
1024,1000,0.2,18942,0.945060
1024,1000,0.2,10041,0.945074
1024,1000,0.2,20262,0.945005
1024,1000,0.2,11573,0.945060
1024,1000,0.2,4978,0.945007
1024,1000,0.2,6576,0.943836
1024,1000,0.2,28037,0.943779
1024,1000,0.2,18953,0.945007
1024,1000,0.2,18789,0.947232
1024,1000,0.2,30151,0.945007
1024,1000,0.4,21015,0.948267
1024,1000,0.4,18942,0.948309
1024,1000,0.4,10041,0.948315
1024,1000,0.4,20262,0.948267
1024,1000,0.4,11573,0.948309
1024,1000,0.4,4978,0.948277
1024,1000,0.4,6576,0.947114
1024,1000,0.4,28037,0.947059
1024,1000,0.4,18953,0.948277
1024,1000,0.4,18789,0.950896
1024,1000,0.4,30151,0.948277
1024,1000,0.6,21015,0.949779
1024,1000,0.6,18942,0.949801
1024,1000,0.6,10041,0.949803
1024,1000,0.6,20262,0.949779
1024,1000,0.6,11573,0.949801
1024,1000,0.6,4978,0.949788
1024,1000,0.6,6576,0.950138
1024,1000,0.6,28037,0.950110
1024,1000,0.6,18953,0.949788
1024,1000,0.6,18789,0.954147
1024,1000,0.6,30151,0.949788
1024,1000,0.8,21015,0.949888
1024,1000,0.8,18942,0.949900
1024,1000,0.8,10041,0.949900
1024,1000,0.8,20262,0.949888
1024,1000,0.8,11573,0.949900
1024,1000,0.8,4978,0.949895
1024,1000,0.8,6576,0.952884
1024,1000,0.8,28037,0.952877
1024,1000,0.8,18953,0.949895
1024,1000,0.8,18789,0.955873
1024,1000,0.8,30151,0.949895
1024,1000,0.9,21015,0.948536
1024,1000,0.9,18942,0.948544
1024,1000,0.9,10041,0.948542
1024,1000,0.9,20262,0.948536
1024,1000,0.9,11573,0.948544
1024,1000,0.9,4978,0.948543
1024,1000,0.9,6576,0.953006
1024,1000,0.9,28037,0.953002
1024,1000,0.9,18953,0.948543
1024,1000,0.9,18789,0.954753
1024,1000,0.9,30151,0.948543
1024,1000,0.99,21015,0.930848
1024,1000,0.99,18942,0.930849
1024,1000,0.99,10041,0.930850
1024,1000,0.99,20262,0.930848
1024,1000,0.99,11573,0.930849
1024,1000,0.99,4978,0.930848
1024,1000,0.99,6576,0.940403
1024,1000,0.99,28037,0.940402
1024,1000,0.99,18953,0.930848
1024,1000,0.99,18789,0.936523
1024,1000,0.99,30151,0.930848
1024,1000,0.992,21015,0.928885
1024,1000,0.992,18942,0.928886
1024,1000,0.992,10041,0.928886
1024,1000,0.992,20262,0.928885
1024,1000,0.992,11573,0.928886
1024,1000,0.992,4978,0.928885
1024,1000,0.992,6576,0.938147
1024,1000,0.992,28037,0.938145
1024,1000,0.992,18953,0.928885
1024,1000,0.992,18789,0.934692
1024,1000,0.992,30151,0.928885
1024,1000,0.994,21015,0.926050
1024,1000,0.994,18942,0.926053
1024,1000,0.994,10041,0.926053
1024,1000,0.994,20262,0.926050
1024,1000,0.994,11573,0.926053
1024,1000,0.994,4978,0.926051
1024,1000,0.994,6576,0.935748
1024,1000,0.994,28037,0.935746
1024,1000,0.994,18953,0.926051
1024,1000,0.994,18789,0.932091
1024,1000,0.994,30151,0.926051
1024,1000,0.996,21015,0.923737
1024,1000,0.996,18942,0.923740
1024,1000,0.996,10041,0.923741
1024,1000,0.996,20262,0.923737
1024,1000,0.996,11573,0.923740
1024,1000,0.996,4978,0.923739
1024,1000,0.996,6576,0.932085
1024,1000,0.996,28037,0.932081
1024,1000,0.996,18953,0.923739
1024,1000,0.996,18789,0.928005
1024,1000,0.996,30151,0.923739
1024,1000,0.998,21015,0.912689
1024,1000,0.998,18942,0.912696
1024,1000,0.998,10041,0.912696
1024,1000,0.998,20262,0.912689
1024,1000,0.998,11573,0.912696
1024,1000,0.998,4978,0.912694
1024,1000,0.998,6576,0.923679
1024,1000,0.998,28037,0.923666
1024,1000,0.998,18953,0.912694
1024,1000,0.998,18789,0.916277
1024,1000,0.998,30151,0.912694
1024,1000,0.999,21015,0.853979
1024,1000,0.999,18942,0.853959
1024,1000,0.999,10041,0.853960
