numColumn,threshold,seed,time
600,100000,1144,341730
600,100000,8893,280985
600,100000,31903,345504
600,100000,25106,282488
600,100000,25824,350237
600,100000,23985,296497
600,100000,24446,311146
600,100000,1421,287266
600,100000,113,277205
600,100000,14914,320073
600,100000,30788,344692
600,100000,31500,281666
600,100000,32441,316685
600,100000,18512,308037
600,100000,17317,293521
600,100000,1928,343430
600,100000,8105,346561
600,100000,23451,304607
600,100000,19375,311151
600,100000,15591,281123
600,100000,23892,294603
800,100000,1144,382253
800,100000,8893,311265
800,100000,31903,386490
800,100000,25106,315111
800,100000,25824,387583
800,100000,23985,332019
800,100000,24446,353828
800,100000,1421,326702
800,100000,113,310014
800,100000,14914,321284
800,100000,30788,332613
800,100000,31500,311032
800,100000,32441,352018
800,100000,18512,340996
800,100000,17317,315259
800,100000,1928,384285
800,100000,8105,387468
800,100000,23451,336746
800,100000,19375,354288
800,100000,15591,314542
800,100000,23892,332103
1000,100000,1144,432534
1000,100000,8893,347640
1000,100000,31903,432366
1000,100000,25106,352902
1000,100000,25824,431413
1000,100000,23985,370887
1000,100000,24446,389207
1000,100000,1421,353793
1000,100000,113,342251
1000,100000,14914,353663
1000,100000,30788,372773
1000,100000,31500,356319
1000,100000,32441,393325
1000,100000,18512,375855
1000,100000,17317,356349
1000,100000,1928,465781
1000,100000,8105,433149
1000,100000,23451,367302
1000,100000,19375,393570
1000,100000,15591,352544
1000,100000,23892,367731
1200,100000,1144,466625
1200,100000,8893,369035
1200,100000,31903,470351
1200,100000,25106,386005
1200,100000,25824,472913
1200,100000,23985,408238
1200,100000,24446,429263
1200,100000,1421,390816
1200,100000,113,375235
1200,100000,14914,393224
1200,100000,30788,398748
1200,100000,31500,386225
1200,100000,32441,439003
1200,100000,18512,413761
1200,100000,17317,393366
1200,100000,1928,526843
1200,100000,8105,557659
1200,100000,23451,426224
1200,100000,19375,438935
1200,100000,15591,382480
1200,100000,23892,408016
1400,100000,1144,509026
1400,100000,8893,399288
1400,100000,31903,512500
1400,100000,25106,422593
1400,100000,25824,509912
1400,100000,23985,438776
1400,100000,24446,468871
1400,100000,1421,430923
1400,100000,113,409790
1400,100000,14914,432405
1400,100000,30788,432904
1400,100000,31500,423248
