numColumn,threshold,seed,auc
1024,1,10574,0.943949
1024,1,20027,0.943965
1024,1,21308,0.943143
1024,1,7630,0.943965
1024,1,21124,0.943965
1024,1,21389,0.943959
1024,1,7586,0.942673
1024,1,6085,0.943148
1024,1,8294,0.943949
1024,1,24791,0.943143
1024,1,4663,0.943959
1024,1,24817,0.943959
1024,1,23396,0.943959
1024,1,19093,0.943965
1024,1,27157,0.943959
1024,1,27218,0.943148
1024,1,7056,0.943965
1024,1,18274,0.943143
1024,1,17657,0.943959
1024,1,18945,0.943959
1024,1,32432,0.942657
1024,10,10574,0.943993
1024,10,20027,0.944001
1024,10,21308,0.943155
1024,10,7630,0.944001
1024,10,21124,0.944001
1024,10,21389,0.943981
1024,10,7586,0.942746
1024,10,6085,0.943162
1024,10,8294,0.943993
1024,10,24791,0.943155
1024,10,4663,0.943981
1024,10,24817,0.943981
1024,10,23396,0.943981
1024,10,19093,0.944001
1024,10,27157,0.943981
1024,10,27218,0.943162
1024,10,7056,0.944001
1024,10,18274,0.943155
1024,10,17657,0.943981
1024,10,18945,0.943981
1024,10,32432,0.942746
1024,100,10574,0.945970
1024,100,20027,0.945984
1024,100,21308,0.949998
1024,100,7630,0.945984
1024,100,21124,0.945984
1024,100,21389,0.946000
1024,100,7586,0.952837
1024,100,6085,0.950040
1024,100,8294,0.945970
1024,100,24791,0.949998
1024,100,4663,0.946000
1024,100,24817,0.946000
1024,100,23396,0.946000
1024,100,19093,0.945984
1024,100,27157,0.946000
1024,100,27218,0.950040
1024,100,7056,0.945984
1024,100,18274,0.949998
1024,100,17657,0.946000
1024,100,18945,0.946000
1024,100,32432,0.952830
1024,1000,10574,0.948974
1024,1000,20027,0.949000
1024,1000,21308,0.948656
1024,1000,7630,0.949000
1024,1000,21124,0.949000
1024,1000,21389,0.948974
1024,1000,7586,0.952695
1024,1000,6085,0.948702
1024,1000,8294,0.948974
1024,1000,24791,0.948656
1024,1000,4663,0.948974
1024,1000,24817,0.948974
1024,1000,23396,0.948974
1024,1000,19093,0.949000
1024,1000,27157,0.948974
1024,1000,27218,0.948702
1024,1000,7056,0.949000
1024,1000,18274,0.948656
1024,1000,17657,0.948974
1024,1000,18945,0.948974
1024,1000,32432,0.952695
1024,10000,10574,0.947609
1024,10000,20027,0.947609
1024,10000,21308,0.946417
1024,10000,7630,0.947609
1024,10000,21124,0.947609
1024,10000,21389,0.947606
1024,10000,7586,0.947126
1024,10000,6085,0.946417
1024,10000,8294,0.947609
1024,10000,24791,0.946417
1024,10000,4663,0.947606
1024,10000,24817,0.947606
1024,10000,23396,0.947606
1024,10000,19093,0.947609
1024,10000,27157,0.947606
1024,10000,27218,0.946417
1024,10000,7056,0.947609
1024,10000,18274,0.946417
1024,10000,17657,0.947606
1024,10000,18945,0.947606
1024,10000,32432,0.947126
1024,100000,10574,0.938539
1024,100000,20027,0.938539
1024,100000,21308,0.940565
1024,100000,7630,0.938539
1024,100000,21124,0.938539
1024,100000,21389,0.938539
1024,100000,7586,0.944712
1024,100000,6085,0.940565
1024,100000,8294,0.938539
1024,100000,24791,0.940565
1024,100000,4663,0.938539
1024,100000,24817,0.938539
1024,100000,23396,0.938539
1024,100000,19093,0.938539
1024,100000,27157,0.938539
1024,100000,27218,0.940565
1024,100000,7056,0.938539
1024,100000,18274,0.940565
1024,100000,17657,0.938539
1024,100000,18945,0.938539
1024,100000,32432,0.944712
1024,1e+06,10574,0.935481
1024,1e+06,20027,0.935481
1024,1e+06,21308,0.939931
1024,1e+06,7630,0.935481
1024,1e+06,21124,0.935481
1024,1e+06,21389,0.935481
1024,1e+06,7586,0.944963
1024,1e+06,6085,0.939931
1024,1e+06,8294,0.935481
1024,1e+06,24791,0.939931
1024,1e+06,4663,0.935481
1024,1e+06,24817,0.935481
1024,1e+06,23396,0.935481
1024,1e+06,19093,0.935481
1024,1e+06,27157,0.935481
1024,1e+06,27218,0.939931
1024,1e+06,7056,0.935481
1024,1e+06,18274,0.939931
1024,1e+06,17657,0.935481
1024,1e+06,18945,0.935481
1024,1e+06,32432,0.944963
1024,1e+07,10574,0.935247
1024,1e+07,20027,0.935247
1024,1e+07,21308,0.939708
1024,1e+07,7630,0.935247
1024,1e+07,21124,0.935247
1024,1e+07,21389,0.935247
1024,1e+07,7586,0.944957
1024,1e+07,6085,0.939708
1024,1e+07,8294,0.935247
1024,1e+07,24791,0.939708
1024,1e+07,4663,0.935247
1024,1e+07,24817,0.935247
1024,1e+07,23396,0.935247
1024,1e+07,19093,0.935247
1024,1e+07,27157,0.935247
1024,1e+07,27218,0.939708
1024,1e+07,7056,0.935247
1024,1e+07,18274,0.939708
1024,1e+07,17657,0.935247
1024,1e+07,18945,0.935247
1024,1e+07,32432,0.944957
