numColumn,threshold,seed,auc
1024,1,4057,0.901127
1024,1,12441,0.901835
1024,1,18481,0.901041
1024,1,4243,0.902644
1024,1,21472,0.902644
1024,1,5841,0.902355
1024,1,16614,0.902355
1024,1,23964,0.902290
1024,1,7053,0.902355
1024,1,14003,0.902429
1024,1,29383,0.902355
1024,1,12452,0.901024
1024,1,4269,0.902290
1024,1,5094,0.902230
1024,1,4011,0.902412
1024,1,32188,0.901024
1024,1,31327,0.901835
1024,1,12066,0.901835
1024,1,21312,0.902412
1024,1,6242,0.902412
1024,1,2679,0.901835
1024,10,4057,0.901122
1024,10,12441,0.901831
1024,10,18481,0.901018
1024,10,4243,0.902878
1024,10,21472,0.902878
1024,10,5841,0.902589
1024,10,16614,0.902589
1024,10,23964,0.902523
1024,10,7053,0.902589
1024,10,14003,0.902633
1024,10,29383,0.902589
1024,10,12452,0.901018
1024,10,4269,0.902523
1024,10,5094,0.902204
1024,10,4011,0.902646
1024,10,32188,0.901018
1024,10,31327,0.901831
1024,10,12066,0.901831
1024,10,21312,0.902646
1024,10,6242,0.902646
1024,10,2679,0.901831
1024,100,4057,0.896623
1024,100,12441,0.897344
1024,100,18481,0.896514
1024,100,4243,0.901263
1024,100,21472,0.901263
1024,100,5841,0.901049
1024,100,16614,0.901049
1024,100,23964,0.900928
1024,100,7053,0.901049
1024,100,14003,0.901049
1024,100,29383,0.901049
1024,100,12452,0.896514
1024,100,4269,0.900928
1024,100,5094,0.897704
1024,100,4011,0.901050
1024,100,32188,0.896514
1024,100,31327,0.897344
1024,100,12066,0.897344
1024,100,21312,0.901050
1024,100,6242,0.901050
1024,100,2679,0.897344
1024,1000,4057,0.823915
1024,1000,12441,0.832092
1024,1000,18481,0.825950
1024,1000,4243,0.845446
1024,1000,21472,0.845446
1024,1000,5841,0.842202
1024,1000,16614,0.842202
1024,1000,23964,0.842202
1024,1000,7053,0.842202
1024,1000,14003,0.842202
1024,1000,29383,0.842202
1024,1000,12452,0.825706
1024,1000,4269,0.842202
1024,1000,5094,0.833936
1024,1000,4011,0.842202
1024,1000,32188,0.825706
1024,1000,31327,0.832092
1024,1000,12066,0.832092
1024,1000,21312,0.842202
1024,1000,6242,0.842202
1024,1000,2679,0.832092
1024,10000,4057,0.751818
1024,10000,12441,0.751819
1024,10000,18481,0.751818
1024,10000,4243,0.711092
1024,10000,21472,0.711092
1024,10000,5841,0.711092
1024,10000,16614,0.711092
1024,10000,23964,0.711092
1024,10000,7053,0.711092
1024,10000,14003,0.711092
1024,10000,29383,0.711092
1024,10000,12452,0.751818
1024,10000,4269,0.711092
1024,10000,5094,0.751818
1024,10000,4011,0.711092
1024,10000,32188,0.751818
1024,10000,31327,0.751819
1024,10000,12066,0.751819
1024,10000,21312,0.711092
1024,10000,6242,0.711092
1024,10000,2679,0.751819
1024,100000,4057,0.753397
1024,100000,12441,0.753397
1024,100000,18481,0.753397
1024,100000,4243,0.714867
1024,100000,21472,0.714867
1024,100000,5841,0.714867
1024,100000,16614,0.714867
1024,100000,23964,0.714867
1024,100000,7053,0.714867
1024,100000,14003,0.714867
1024,100000,29383,0.714867
1024,100000,12452,0.753397
1024,100000,4269,0.714867
1024,100000,5094,0.753397
1024,100000,4011,0.714867
1024,100000,32188,0.753397
1024,100000,31327,0.753397
1024,100000,12066,0.753397
1024,100000,21312,0.714867
1024,100000,6242,0.714867
1024,100000,2679,0.753397
1024,1e+06,4057,0.598433
1024,1e+06,12441,0.598433
1024,1e+06,18481,0.598433
1024,1e+06,4243,0.531819
1024,1e+06,21472,0.531819
1024,1e+06,5841,0.531819
1024,1e+06,16614,0.531819
1024,1e+06,23964,0.531819
1024,1e+06,7053,0.531819
1024,1e+06,14003,0.531819
1024,1e+06,29383,0.531819
1024,1e+06,12452,0.598433
1024,1e+06,4269,0.531819
1024,1e+06,5094,0.598433
1024,1e+06,4011,0.531819
1024,1e+06,32188,0.598433
1024,1e+06,31327,0.598433
1024,1e+06,12066,0.598433
1024,1e+06,21312,0.531819
1024,1e+06,6242,0.531819
1024,1e+06,2679,0.598433
1024,1e+07,4057,0.587229
1024,1e+07,12441,0.587229
1024,1e+07,18481,0.587229
1024,1e+07,4243,0.518531
1024,1e+07,21472,0.518531
1024,1e+07,5841,0.518531
1024,1e+07,16614,0.518531
1024,1e+07,23964,0.518531
1024,1e+07,7053,0.518531
1024,1e+07,14003,0.518531
1024,1e+07,29383,0.518531
1024,1e+07,12452,0.587229
1024,1e+07,4269,0.518531
1024,1e+07,5094,0.587229
1024,1e+07,4011,0.518531
1024,1e+07,32188,0.587229
1024,1e+07,31327,0.587229
1024,1e+07,12066,0.587229
1024,1e+07,21312,0.518531
1024,1e+07,6242,0.518531
1024,1e+07,2679,0.587229
