numColumn,threshold,seed,time
1024,1,30977,419
1024,1,1670,419
1024,1,28843,311
1024,1,15630,370
1024,1,11929,387
1024,1,12365,430
1024,1,22756,421
1024,1,1015,430
1024,1,19046,418
1024,1,15760,419
1024,1,30817,428
1024,1,5108,358
1024,1,596,419
1024,1,17498,389
1024,1,9612,390
1024,1,24602,427
1024,1,23093,419
1024,1,25088,428
1024,1,19959,418
1024,1,3836,434
1024,1,20572,415
1024,10,30977,416
1024,10,1670,420
1024,10,28843,309
1024,10,15630,366
1024,10,11929,385
1024,10,12365,431
1024,10,22756,425
1024,10,1015,434
1024,10,19046,418
1024,10,15760,419
1024,10,30817,428
1024,10,5108,359
1024,10,596,419
1024,10,17498,389
1024,10,9612,392
1024,10,24602,420
1024,10,23093,414
1024,10,25088,427
1024,10,19959,428
1024,10,3836,439
1024,10,20572,416
1024,100,30977,423
1024,100,1670,427
1024,100,28843,314
1024,100,15630,369
1024,100,11929,384
1024,100,12365,434
1024,100,22756,427
1024,100,1015,434
1024,100,19046,425
1024,100,15760,430
1024,100,30817,440
1024,100,5108,363
1024,100,596,427
1024,100,17498,391
1024,100,9612,388
1024,100,24602,426
1024,100,23093,424
1024,100,25088,435
1024,100,19959,428
1024,100,3836,433
1024,100,20572,422
1024,1000,30977,431
1024,1000,1670,445
1024,1000,28843,326
1024,1000,15630,374
1024,1000,11929,391
1024,1000,12365,441
1024,1000,22756,437
1024,1000,1015,440
1024,1000,19046,439
1024,1000,15760,439
1024,1000,30817,440
1024,1000,5108,371
1024,1000,596,445
1024,1000,17498,400
1024,1000,9612,394
1024,1000,24602,436
1024,1000,23093,431
1024,1000,25088,438
1024,1000,19959,436
1024,1000,3836,439
1024,1000,20572,435
1024,10000,30977,547
1024,10000,1670,625
1024,10000,28843,382
1024,10000,15630,496
1024,10000,11929,478
1024,10000,12365,594
1024,10000,22756,646
1024,10000,1015,569
1024,10000,19046,654
1024,10000,15760,654
1024,10000,30817,579
1024,10000,5108,460
1024,10000,596,623
1024,10000,17498,492
1024,10000,9612,488
1024,10000,24602,622
1024,10000,23093,539
1024,10000,25088,553
1024,10000,19959,617
1024,10000,3836,553
1024,10000,20572,548
1024,100000,30977,341
1024,100000,1670,358
1024,100000,28843,281
1024,100000,15630,321
1024,100000,11929,303
1024,100000,12365,347
1024,100000,22756,356
1024,100000,1015,348
1024,100000,19046,359
1024,100000,15760,357
1024,100000,30817,348
1024,100000,5108,319
1024,100000,596,357
1024,100000,17498,331
1024,100000,9612,332
1024,100000,24602,363
1024,100000,23093,335
1024,100000,25088,347
1024,100000,19959,358
1024,100000,3836,347
1024,100000,20572,335
1024,1e+06,30977,334
1024,1e+06,1670,356
1024,1e+06,28843,280
1024,1e+06,15630,322
1024,1e+06,11929,304
1024,1e+06,12365,344
1024,1e+06,22756,356
1024,1e+06,1015,350
1024,1e+06,19046,361
1024,1e+06,15760,359
1024,1e+06,30817,345
1024,1e+06,5108,319
1024,1e+06,596,358
1024,1e+06,17498,327
1024,1e+06,9612,326
1024,1e+06,24602,356
1024,1e+06,23093,334
1024,1e+06,25088,346
1024,1e+06,19959,356
1024,1e+06,3836,346
1024,1e+06,20572,334
1024,1e+07,30977,334
1024,1e+07,1670,363
1024,1e+07,28843,284
1024,1e+07,15630,321
1024,1e+07,11929,302
1024,1e+07,12365,344
1024,1e+07,22756,356
1024,1e+07,1015,346
1024,1e+07,19046,354
1024,1e+07,15760,356
1024,1e+07,30817,345
1024,1e+07,5108,317
1024,1e+07,596,355
1024,1e+07,17498,326
1024,1e+07,9612,326
1024,1e+07,24602,355
1024,1e+07,23093,339
1024,1e+07,25088,351
1024,1e+07,19959,357
1024,1e+07,3836,346
1024,1e+07,20572,335
