numColumn,threshold,factor,seed,auc
1024,1000,0,9752,0.973138
1024,1000,0,8296,0.976174
1024,1000,0,353,0.974010
1024,1000,0,27237,0.975179
1024,1000,0,22654,0.973984
1024,1000,0,27639,0.976203
1024,1000,0,19637,0.973087
1024,1000,0,31664,0.976976
1024,1000,0,21262,0.974022
1024,1000,0,22579,0.973986
1024,1000,0,15992,0.974121
1024,1000,0.2,9752,0.979099
1024,1000,0.2,8296,0.981601
1024,1000,0.2,353,0.979640
1024,1000,0.2,27237,0.980678
1024,1000,0.2,22654,0.979612
1024,1000,0.2,27639,0.981397
1024,1000,0.2,19637,0.979056
1024,1000,0.2,31664,0.982364
1024,1000,0.2,21262,0.979645
1024,1000,0.2,22579,0.979614
1024,1000,0.2,15992,0.979681
1024,1000,0.4,9752,0.982653
1024,1000,0.4,8296,0.985025
1024,1000,0.4,353,0.983093
1024,1000,0.4,27237,0.984140
1024,1000,0.4,22654,0.983068
1024,1000,0.4,27639,0.984431
1024,1000,0.4,19637,0.982623
1024,1000,0.4,31664,0.985136
1024,1000,0.4,21262,0.983093
1024,1000,0.4,22579,0.983070
1024,1000,0.4,15992,0.983102
1024,1000,0.6,9752,0.985078
1024,1000,0.6,8296,0.987368
1024,1000,0.6,353,0.985462
1024,1000,0.6,27237,0.986641
1024,1000,0.6,22654,0.985452
1024,1000,0.6,27639,0.986957
1024,1000,0.6,19637,0.985062
1024,1000,0.6,31664,0.987264
1024,1000,0.6,21262,0.985465
1024,1000,0.6,22579,0.985453
1024,1000,0.6,15992,0.985460
1024,1000,0.8,9752,0.986861
1024,1000,0.8,8296,0.988649
1024,1000,0.8,353,0.987026
1024,1000,0.8,27237,0.988396
1024,1000,0.8,22654,0.987026
1024,1000,0.8,27639,0.988587
1024,1000,0.8,19637,0.986857
1024,1000,0.8,31664,0.988443
1024,1000,0.8,21262,0.987029
1024,1000,0.8,22579,0.987026
1024,1000,0.8,15992,0.987018
1024,1000,0.9,9752,0.986069
1024,1000,0.9,8296,0.987903
1024,1000,0.9,353,0.986535
1024,1000,0.9,27237,0.987723
1024,1000,0.9,22654,0.986537
1024,1000,0.9,27639,0.988217
1024,1000,0.9,19637,0.986067
1024,1000,0.9,31664,0.987940
1024,1000,0.9,21262,0.986537
1024,1000,0.9,22579,0.986537
1024,1000,0.9,15992,0.986537
1024,1000,0.99,9752,0.972847
1024,1000,0.99,8296,0.975125
1024,1000,0.99,353,0.973630
1024,1000,0.99,27237,0.974780
1024,1000,0.99,22654,0.973631
1024,1000,0.99,27639,0.979698
1024,1000,0.99,19637,0.972802
1024,1000,0.99,31664,0.979455
1024,1000,0.99,21262,0.973631
1024,1000,0.99,22579,0.973631
1024,1000,0.99,15992,0.973818
1024,1000,0.992,9752,0.969432
1024,1000,0.992,8296,0.971621
1024,1000,0.992,353,0.969767
1024,1000,0.992,27237,0.971639
1024,1000,0.992,22654,0.969767
1024,1000,0.992,27639,0.976988
1024,1000,0.992,19637,0.969395
1024,1000,0.992,31664,0.976829
1024,1000,0.992,21262,0.969767
1024,1000,0.992,22579,0.969767
1024,1000,0.992,15992,0.969970
1024,1000,0.994,9752,0.965663
1024,1000,0.994,8296,0.967837
1024,1000,0.994,353,0.966180
1024,1000,0.994,27237,0.968110
1024,1000,0.994,22654,0.966180
1024,1000,0.994,27639,0.974346
1024,1000,0.994,19637,0.965625
1024,1000,0.994,31664,0.974261
1024,1000,0.994,21262,0.966180
1024,1000,0.994,22579,0.966180
1024,1000,0.994,15992,0.966367
1024,1000,0.996,9752,0.960471
1024,1000,0.996,8296,0.961643
1024,1000,0.996,353,0.961654
1024,1000,0.996,27237,0.963877
1024,1000,0.996,22654,0.961655
1024,1000,0.996,27639,0.967588
1024,1000,0.996,19637,0.960410
1024,1000,0.996,31664,0.967489
1024,1000,0.996,21262,0.961655
1024,1000,0.996,22579,0.961655
1024,1000,0.996,15992,0.961794
1024,1000,0.998,9752,0.941735
1024,1000,0.998,8296,0.942465
1024,1000,0.998,353,0.943953
1024,1000,0.998,27237,0.949633
1024,1000,0.998,22654,0.943953
1024,1000,0.998,27639,0.950148
1024,1000,0.998,19637,0.941557
1024,1000,0.998,31664,0.949981
1024,1000,0.998,21262,0.943953
1024,1000,0.998,22579,0.943953
1024,1000,0.998,15992,0.943989
1024,1000,0.999,9752,0.902197
1024,1000,0.999,8296,0.900079
1024,1000,0.999,353,0.903031
1024,1000,0.999,27237,0.910213
1024,1000,0.999,22654,0.903031
1024,1000,0.999,27639,0.931258
1024,1000,0.999,19637,0.902047
1024,1000,0.999,31664,0.930684
1024,1000,0.999,21262,0.903031
1024,1000,0.999,22579,0.903031
1024,1000,0.999,15992,0.903459
1024,1000,0.9992,9752,0.862449
1024,1000,0.9992,8296,0.858865
1024,1000,0.9992,353,0.858323
1024,1000,0.9992,27237,0.867837
1024,1000,0.9992,22654,0.858321
1024,1000,0.9992,27639,0.923379
1024,1000,0.9992,19637,0.861962
1024,1000,0.9992,31664,0.922953
1024,1000,0.9992,21262,0.858323
1024,1000,0.9992,22579,0.858321
1024,1000,0.9992,15992,0.858615
1024,1000,0.9994,9752,0.859280
1024,1000,0.9994,8296,0.846951
1024,1000,0.9994,353,0.854109
1024,1000,0.9994,27237,0.855642
1024,1000,0.9994,22654,0.854106
1024,1000,0.9994,27639,0.918478
1024,1000,0.9994,19637,0.858347
1024,1000,0.9994,31664,0.919167
1024,1000,0.9994,21262,0.854109
1024,1000,0.9994,22579,0.854106
1024,1000,0.9994,15992,0.854112
1024,1000,0.9996,9752,0.840444
1024,1000,0.9996,8296,0.828912
1024,1000,0.9996,353,0.834190
1024,1000,0.9996,27237,0.836427
1024,1000,0.9996,22654,0.834188
1024,1000,0.9996,27639,0.903566
1024,1000,0.9996,19637,0.839040
1024,1000,0.9996,31664,0.904406
1024,1000,0.9996,21262,0.834190
1024,1000,0.9996,22579,0.834187
1024,1000,0.9996,15992,0.834203
1024,1000,0.9998,9752,0.810054
1024,1000,0.9998,8296,0.803484
1024,1000,0.9998,353,0.804121
1024,1000,0.9998,27237,0.806695
1024,1000,0.9998,22654,0.804119
1024,1000,0.9998,27639,0.880415
1024,1000,0.9998,19637,0.810052
1024,1000,0.9998,31664,0.880491
1024,1000,0.9998,21262,0.804121
1024,1000,0.9998,22579,0.804119
1024,1000,0.9998,15992,0.804121
1024,1000,1,9752,0.731923
1024,1000,1,8296,0.752638
1024,1000,1,353,0.721968
1024,1000,1,27237,0.724734
1024,1000,1,22654,0.721969
1024,1000,1,27639,0.806454
1024,1000,1,19637,0.731924
1024,1000,1,31664,0.800513
1024,1000,1,21262,0.721968
1024,1000,1,22579,0.721969
1024,1000,1,15992,0.721969
