numColumn,threshold,seed,auc
1024,1,26375,0.983868
1024,1,30725,0.984022
1024,1,22681,0.985187
1024,1,674,0.983884
1024,1,19948,0.984962
1024,1,18893,0.983869
1024,1,20253,0.983859
1024,1,24001,0.983853
1024,1,31174,0.985452
1024,1,8918,0.983760
1024,1,29050,0.982238
1024,1,9347,0.983884
1024,1,31040,0.983877
1024,1,4467,0.983853
1024,1,9675,0.983871
1024,1,12639,0.983618
1024,1,22141,0.982511
1024,1,27268,0.983856
1024,1,21370,0.983868
1024,1,23530,0.984622
1024,1,8530,0.984955
1024,10,26375,0.984061
1024,10,30725,0.984044
1024,10,22681,0.985359
1024,10,674,0.984069
1024,10,19948,0.985150
1024,10,18893,0.984056
1024,10,20253,0.984052
1024,10,24001,0.984040
1024,10,31174,0.985528
1024,10,8918,0.983780
1024,10,29050,0.982225
1024,10,9347,0.984069
1024,10,31040,0.984070
1024,10,4467,0.984046
1024,10,9675,0.984056
1024,10,12639,0.983641
1024,10,22141,0.983701
1024,10,27268,0.984044
1024,10,21370,0.984061
1024,10,23530,0.984799
1024,10,8530,0.985129
1024,100,26375,0.982904
1024,100,30725,0.982902
1024,100,22681,0.986542
1024,100,674,0.985288
1024,100,19948,0.983963
1024,100,18893,0.985283
1024,100,20253,0.982900
1024,100,24001,0.985267
1024,100,31174,0.985682
1024,100,8918,0.985000
1024,100,29050,0.984813
1024,100,9347,0.985288
1024,100,31040,0.982919
1024,100,4467,0.982903
1024,100,9675,0.985284
1024,100,12639,0.982520
1024,100,22141,0.980823
1024,100,27268,0.982903
1024,100,21370,0.982904
1024,100,23530,0.983680
1024,100,8530,0.983943
1024,1000,26375,0.984356
1024,1000,30725,0.984340
1024,1000,22681,0.986260
1024,1000,674,0.985703
1024,1000,19948,0.985505
1024,1000,18893,0.985695
1024,1000,20253,0.984351
1024,1000,24001,0.985679
1024,1000,31174,0.987183
1024,1000,8918,0.985350
1024,1000,29050,0.986191
1024,1000,9347,0.985703
1024,1000,31040,0.984369
1024,1000,4467,0.984340
1024,1000,9675,0.985695
1024,1000,12639,0.983946
1024,1000,22141,0.981745
1024,1000,27268,0.984340
1024,1000,21370,0.984356
1024,1000,23530,0.985219
1024,1000,8530,0.985488
1024,10000,26375,0.980714
1024,10000,30725,0.980713
1024,10000,22681,0.980775
1024,10000,674,0.983808
1024,10000,19948,0.979464
1024,10000,18893,0.983804
1024,10000,20253,0.980713
1024,10000,24001,0.983804
1024,10000,31174,0.984807
1024,10000,8918,0.984031
1024,10000,29050,0.984390
1024,10000,9347,0.983808
1024,10000,31040,0.980713
1024,10000,4467,0.980714
1024,10000,9675,0.983804
1024,10000,12639,0.980901
1024,10000,22141,0.976567
1024,10000,27268,0.980714
1024,10000,21370,0.980714
1024,10000,23530,0.979724
1024,10000,8530,0.979463
1024,100000,26375,0.961710
1024,100000,30725,0.961711
1024,100000,22681,0.964456
1024,100000,674,0.963470
1024,100000,19948,0.962932
1024,100000,18893,0.963470
1024,100000,20253,0.961710
1024,100000,24001,0.963069
1024,100000,31174,0.965303
1024,100000,8918,0.962719
1024,100000,29050,0.963937
1024,100000,9347,0.963470
1024,100000,31040,0.962119
1024,100000,4467,0.961710
1024,100000,9675,0.963470
1024,100000,12639,0.961031
1024,100000,22141,0.960210
1024,100000,27268,0.961710
1024,100000,21370,0.961710
1024,100000,23530,0.961888
1024,100000,8530,0.962528
1024,1e+06,26375,0.959698
1024,1e+06,30725,0.959698
1024,1e+06,22681,0.962006
1024,1e+06,674,0.961082
1024,1e+06,19948,0.960510
1024,1e+06,18893,0.961082
1024,1e+06,20253,0.959698
1024,1e+06,24001,0.961082
1024,1e+06,31174,0.963062
1024,1e+06,8918,0.958330
1024,1e+06,29050,0.962048
1024,1e+06,9347,0.961082
1024,1e+06,31040,0.959698
1024,1e+06,4467,0.959698
1024,1e+06,9675,0.961082
1024,1e+06,12639,0.956734
1024,1e+06,22141,0.956663
1024,1e+06,27268,0.959703
1024,1e+06,21370,0.959698
1024,1e+06,23530,0.957670
1024,1e+06,8530,0.960512
1024,1e+07,26375,0.956334
1024,1e+07,30725,0.956328
1024,1e+07,22681,0.958942
1024,1e+07,674,0.957855
1024,1e+07,19948,0.957276
1024,1e+07,18893,0.957855
1024,1e+07,20253,0.956334
1024,1e+07,24001,0.957855
1024,1e+07,31174,0.959944
1024,1e+07,8918,0.957888
1024,1e+07,29050,0.958958
1024,1e+07,9347,0.957855
1024,1e+07,31040,0.956333
1024,1e+07,4467,0.956334
1024,1e+07,9675,0.957855
1024,1e+07,12639,0.956351
1024,1e+07,22141,0.956328
1024,1e+07,27268,0.956333
1024,1e+07,21370,0.956334
1024,1e+07,23530,0.957334
1024,1e+07,8530,0.957274
