numColumn,threshold,seed,auc
1024,1,15882,0.889632
1024,1,4036,0.869099
1024,1,20614,0.868356
1024,1,7390,0.867874
1024,1,15025,0.868964
1024,1,3218,0.868302
1024,1,14607,0.869002
1024,1,8365,0.868366
1024,1,26689,0.868111
1024,1,1321,0.867884
1024,1,18103,0.868307
1024,1,8105,0.868363
1024,1,18610,0.867413
1024,1,19437,0.866495
1024,1,14695,0.868329
1024,1,29927,0.867501
1024,1,14928,0.867874
1024,1,14153,0.868111
1024,1,31211,0.869347
1024,1,25041,0.867372
1024,1,17775,0.867904
1024,10,15882,0.882486
1024,10,4036,0.867549
1024,10,20614,0.866921
1024,10,7390,0.866419
1024,10,15025,0.867410
1024,10,3218,0.866866
1024,10,14607,0.867449
1024,10,8365,0.866931
1024,10,26689,0.866633
1024,10,1321,0.866402
1024,10,18103,0.866871
1024,10,8105,0.866927
1024,10,18610,0.865911
1024,10,19437,0.865027
1024,10,14695,0.866892
1024,10,29927,0.866000
1024,10,14928,0.866419
1024,10,14153,0.866633
1024,10,31211,0.867800
1024,10,25041,0.865668
1024,10,17775,0.866423
1024,100,15882,0.874844
1024,100,4036,0.867318
1024,100,20614,0.868126
1024,100,7390,0.867789
1024,100,15025,0.867166
1024,100,3218,0.868053
1024,100,14607,0.867196
1024,100,8365,0.868135
1024,100,26689,0.867932
1024,100,1321,0.867566
1024,100,18103,0.868057
1024,100,8105,0.868132
1024,100,18610,0.867194
1024,100,19437,0.866487
1024,100,14695,0.867974
1024,100,29927,0.867392
1024,100,14928,0.867789
1024,100,14153,0.867932
1024,100,31211,0.867587
1024,100,25041,0.865497
1024,100,17775,0.867725
1024,1000,15882,0.807294
1024,1000,4036,0.822679
1024,1000,20614,0.820116
1024,1000,7390,0.822108
1024,1000,15025,0.822739
1024,1000,3218,0.820114
1024,1000,14607,0.821572
1024,1000,8365,0.820050
1024,1000,26689,0.820451
1024,1000,1321,0.819898
1024,1000,18103,0.820028
1024,1000,8105,0.820030
1024,1000,18610,0.821124
1024,1000,19437,0.826727
1024,1000,14695,0.819696
1024,1000,29927,0.820528
1024,1000,14928,0.822108
1024,1000,14153,0.820451
1024,1000,31211,0.822910
1024,1000,25041,0.827938
1024,1000,17775,0.820232
1024,10000,15882,0.841952
1024,10000,4036,0.872006
1024,10000,20614,0.868729
1024,10000,7390,0.870159
1024,10000,15025,0.872006
1024,10000,3218,0.868729
1024,10000,14607,0.872006
1024,10000,8365,0.868729
1024,10000,26689,0.868216
1024,10000,1321,0.868216
1024,10000,18103,0.868729
1024,10000,8105,0.868729
1024,10000,18610,0.869884
1024,10000,19437,0.870187
1024,10000,14695,0.868729
1024,10000,29927,0.869884
1024,10000,14928,0.870159
1024,10000,14153,0.868216
1024,10000,31211,0.872006
1024,10000,25041,0.873764
1024,10000,17775,0.868216
1024,100000,15882,0.746112
1024,100000,4036,0.776242
1024,100000,20614,0.768582
1024,100000,7390,0.771901
1024,100000,15025,0.776242
1024,100000,3218,0.768582
1024,100000,14607,0.776242
1024,100000,8365,0.768582
1024,100000,26689,0.772942
1024,100000,1321,0.772942
1024,100000,18103,0.768582
1024,100000,8105,0.768582
1024,100000,18610,0.776800
1024,100000,19437,0.772551
1024,100000,14695,0.768582
1024,100000,29927,0.776800
1024,100000,14928,0.771901
1024,100000,14153,0.772942
1024,100000,31211,0.776242
1024,100000,25041,0.782007
1024,100000,17775,0.772942
1024,1e+06,15882,0.476020
1024,1e+06,4036,0.473770
1024,1e+06,20614,0.456907
1024,1e+06,7390,0.464815
1024,1e+06,15025,0.473770
1024,1e+06,3218,0.456907
1024,1e+06,14607,0.473770
1024,1e+06,8365,0.456907
1024,1e+06,26689,0.466654
1024,1e+06,1321,0.466654
1024,1e+06,18103,0.456907
1024,1e+06,8105,0.456907
1024,1e+06,18610,0.476114
1024,1e+06,19437,0.467129
1024,1e+06,14695,0.456907
1024,1e+06,29927,0.476114
1024,1e+06,14928,0.464815
1024,1e+06,14153,0.466654
1024,1e+06,31211,0.473770
1024,1e+06,25041,0.488510
1024,1e+06,17775,0.466654
1024,1e+07,15882,0.453681
1024,1e+07,4036,0.451256
1024,1e+07,20614,0.434361
1024,1e+07,7390,0.442333
1024,1e+07,15025,0.451256
1024,1e+07,3218,0.434361
1024,1e+07,14607,0.451256
1024,1e+07,8365,0.434361
1024,1e+07,26689,0.444209
1024,1e+07,1321,0.444209
1024,1e+07,18103,0.434361
1024,1e+07,8105,0.434361
1024,1e+07,18610,0.453774
1024,1e+07,19437,0.444664
1024,1e+07,14695,0.434361
1024,1e+07,29927,0.453774
1024,1e+07,14928,0.442333
1024,1e+07,14153,0.444209
1024,1e+07,31211,0.451256
1024,1e+07,25041,0.466067
1024,1e+07,17775,0.444209
