numColumn,threshold,seed,time
1024,1,2594,1352
1024,1,20836,1480
1024,1,113,1468
1024,1,31553,1520
1024,1,28569,1493
1024,1,11814,1477
1024,1,503,1617
1024,1,29069,1387
1024,1,21855,1429
1024,1,30492,1492
1024,1,15228,1483
1024,1,32259,1472
1024,1,8746,1387
1024,1,25204,1483
1024,1,2954,1502
1024,1,16857,1390
1024,1,31722,1411
1024,1,8620,1471
1024,1,13237,1378
1024,1,13855,1368
1024,1,32256,1390
1024,10,2594,1347
1024,10,20836,1454
1024,10,113,1471
1024,10,31553,1512
1024,10,28569,1493
1024,10,11814,1479
1024,10,503,1502
1024,10,29069,1384
1024,10,21855,1420
1024,10,30492,1482
1024,10,15228,1437
1024,10,32259,1488
1024,10,8746,1530
1024,10,25204,1695
1024,10,2954,1577
1024,10,16857,1408
1024,10,31722,1403
1024,10,8620,1505
1024,10,13237,1360
1024,10,13855,1379
1024,10,32256,1402
1024,100,2594,1364
1024,100,20836,1478
1024,100,113,1495
1024,100,31553,1528
1024,100,28569,1490
1024,100,11814,1490
1024,100,503,1530
1024,100,29069,1452
1024,100,21855,1432
1024,100,30492,1536
1024,100,15228,1471
1024,100,32259,1463
1024,100,8746,1390
1024,100,25204,1511
1024,100,2954,1519
1024,100,16857,1417
1024,100,31722,1443
1024,100,8620,1520
1024,100,13237,1354
1024,100,13855,1385
1024,100,32256,1441
1024,1000,2594,1369
1024,1000,20836,1490
1024,1000,113,1521
1024,1000,31553,1874
1024,1000,28569,1535
1024,1000,11814,1543
1024,1000,503,1589
1024,1000,29069,1424
1024,1000,21855,1427
1024,1000,30492,1565
1024,1000,15228,1474
1024,1000,32259,1473
1024,1000,8746,1401
1024,1000,25204,1550
1024,1000,2954,1704
1024,1000,16857,1563
1024,1000,31722,1897
1024,1000,8620,1545
1024,1000,13237,1373
1024,1000,13855,1438
1024,1000,32256,1485
1024,10000,2594,1699
1024,10000,20836,1714
1024,10000,113,1663
1024,10000,31553,1715
1024,10000,28569,1757
1024,10000,11814,1786
1024,10000,503,1784
1024,10000,29069,1614
1024,10000,21855,1598
1024,10000,30492,1761
1024,10000,15228,1642
1024,10000,32259,1677
1024,10000,8746,1594
1024,10000,25204,1787
1024,10000,2954,1831
1024,10000,16857,1631
1024,10000,31722,1825
1024,10000,8620,1659
1024,10000,13237,1577
1024,10000,13855,1578
1024,10000,32256,1605
1024,100000,2594,1333
1024,100000,20836,1569
1024,100000,113,1525
1024,100000,31553,1475
1024,100000,28569,1478
1024,100000,11814,1412
1024,100000,503,1421
1024,100000,29069,1320
1024,100000,21855,1334
1024,100000,30492,1413
1024,100000,15228,1314
1024,100000,32259,1349
1024,100000,8746,1299
1024,100000,25204,1370
1024,100000,2954,1529
1024,100000,16857,1417
1024,100000,31722,1440
1024,100000,8620,1486
1024,100000,13237,1546
1024,100000,13855,1278
1024,100000,32256,1306
1024,1e+06,2594,1260
1024,1e+06,20836,1372
1024,1e+06,113,1348
1024,1e+06,31553,1412
1024,1e+06,28569,1359
1024,1e+06,11814,1380
1024,1e+06,503,1467
1024,1e+06,29069,1300
1024,1e+06,21855,1298
1024,1e+06,30492,1405
1024,1e+06,15228,1337
1024,1e+06,32259,1348
1024,1e+06,8746,1350
1024,1e+06,25204,1773
1024,1e+06,2954,1390
1024,1e+06,16857,1381
1024,1e+06,31722,1586
1024,1e+06,8620,1367
1024,1e+06,13237,1257
1024,1e+06,13855,1284
1024,1e+06,32256,1384
1024,1e+07,2594,1269
1024,1e+07,20836,1357
1024,1e+07,113,1402
1024,1e+07,31553,1371
1024,1e+07,28569,1592
1024,1e+07,11814,1380
1024,1e+07,503,1407
1024,1e+07,29069,1593
1024,1e+07,21855,1381
1024,1e+07,30492,1370
1024,1e+07,15228,1523
1024,1e+07,32259,1442
1024,1e+07,8746,1425
1024,1e+07,25204,1397
1024,1e+07,2954,1392
1024,1e+07,16857,1324
1024,1e+07,31722,1467
1024,1e+07,8620,1360
1024,1e+07,13237,1254
1024,1e+07,13855,1457
1024,1e+07,32256,1428
