numSample,numWalk,probRestart,seed,time,auc
500,50,0.15,7122,105.567,0.4657
500,50,0.15,10804,123.428,0.463
500,50,0.15,859,94.1833,0.4929
500,50,0.15,9586,102.856,0.4675
500,50,0.15,18233,111.341,0.5
500,50,0.15,22452,106.187,0.5078
500,50,0.15,23298,121.715,0.5191
500,50,0.15,12359,116.149,0.4938
500,50,0.15,23197,114.19,0.5043
500,50,0.15,17945,111.488,0.4721
500,50,0.15,18776,99.1172,0.4959
500,50,0.15,7928,115.472,0.4782
500,50,0.15,11955,133.448,0.4788
500,50,0.15,415,111.047,0.4778
500,50,0.15,9912,107.282,0.4762
500,50,0.15,12610,132.216,0.4785
500,50,0.15,27091,122.646,0.5144
500,50,0.15,9858,108.451,0.4995
500,50,0.15,12412,114.305,0.5036
500,50,0.15,14572,115.303,0.5152
500,50,0.15,14649,109.009,0.4942
2000,50,0.15,21437,124.093,0.6074
2000,50,0.15,29501,113.769,0.5956
2000,50,0.15,19509,120.204,0.5888
2000,50,0.15,15385,128.059,0.5923
2000,50,0.15,22648,120.986,0.587
2000,50,0.15,27113,125.215,0.5898
2000,50,0.15,16857,120.996,0.5994
2000,50,0.15,5490,107.719,0.6087
2000,50,0.15,18397,115.763,0.6115
2000,50,0.15,10926,115.034,0.5985
2000,50,0.15,20213,116,0.5926
2000,50,0.15,2849,117.072,0.5972
2000,50,0.15,28167,121.555,0.5992
2000,50,0.15,1990,121.914,0.6021
2000,50,0.15,6440,115.152,0.6371
2000,50,0.15,5976,127.204,0.5938
2000,50,0.15,23347,110.139,0.5932
2000,50,0.15,5134,117.915,0.6057
2000,50,0.15,23850,125.337,0.5948
2000,50,0.15,25597,119.428,0.6146
2000,50,0.15,12671,123.189,0.6293
10000,50,0.15,21716,132.323,0.6345
10000,50,0.15,7544,133.435,0.6445
10000,50,0.15,12993,141.019,0.6382
10000,50,0.15,3959,139.248,0.6426
10000,50,0.15,9490,131.919,0.6377
10000,50,0.15,7360,134.291,0.6393
10000,50,0.15,6441,135.52,0.6395
10000,50,0.15,4799,144.567,0.6375
10000,50,0.15,19958,132.74,0.6442
10000,50,0.15,1814,128.27,0.6439
10000,50,0.15,13143,129.357,0.637
10000,50,0.15,8165,132.42,0.6393
10000,50,0.15,23998,134.175,0.6488
10000,50,0.15,21338,135.086,0.6372
10000,50,0.15,30718,143.171,0.6404
10000,50,0.15,218,143.054,0.6402
10000,50,0.15,11358,139.501,0.637
10000,50,0.15,6199,148.81,0.6447
10000,50,0.15,1896,141.757,0.6371
10000,50,0.15,26579,142.169,0.6408
10000,50,0.15,10766,143.427,0.6401
10000,100,0.15,5565,266.224,0.6208
10000,100,0.15,1691,272.691,0.6265
10000,100,0.15,10204,263.227,0.6265
10000,100,0.15,570,263.369,0.6266
10000,100,0.15,11184,263.136,0.6276
10000,100,0.15,27853,263.107,0.6234
10000,100,0.15,31591,269.179,0.6275
10000,100,0.15,31353,262.523,0.6280
10000,100,0.15,23189,268.956,0.6286
10000,100,0.15,18551,269.128,0.6267
10000,100,0.15,8610,274.489,0.6214
10000,100,0.15,1370,265.923,0.6193
10000,100,0.15,17782,263.549,0.6212
10000,100,0.15,22665,282.797,0.6189
10000,100,0.15,9616,286.175,0.6223
10000,100,0.15,27242,287.917,0.6308
10000,100,0.15,7163,289.268,0.6325
10000,100,0.15,15130,264.213,0.6265
10000,100,0.15,26040,262.083,0.6264
10000,100,0.15,9120,264.291,0.6263
10000,100,0.15,28558,281.524,0.6249
