numSample,numWalk,probRestart,seed,time,auc
500,50,0.15,5488,378.897,0.0424
500,50,0.15,20574,388.794,0.0404
500,50,0.15,22574,378.739,0.0355
500,50,0.15,20451,380.078,0.0448
500,50,0.15,20617,389.655,0.0489
500,50,0.15,6071,388.769,0.0508
500,50,0.15,9598,390.397,0.0405
500,50,0.15,22056,386.661,0.0449
500,50,0.15,27227,361.848,0.0451
500,50,0.15,24219,366.159,0.0551
500,50,0.15,17662,364.726,0.0461
500,50,0.15,1885,372.24,0.0369
500,50,0.15,25307,369.862,0.05
500,50,0.15,7935,365.98,0.0502
500,50,0.15,7013,370.705,0.0356
500,50,0.15,32176,368.487,0.0434
500,50,0.15,21134,368.428,0.0365
500,50,0.15,6694,371.952,0.0435
500,50,0.15,1146,378.437,0.0415
500,50,0.15,1817,380.366,0.0477
500,50,0.15,27547,399.596,0.0341
2000,50,0.15,5488,412.224,0.1055
2000,50,0.15,20574,421.16,0.1146
2000,50,0.15,22574,401.802,0.0907
2000,50,0.15,20451,401.882,0.0883
2000,50,0.15,20617,386.669,0.0882
2000,50,0.15,6071,387.672,0.09
2000,50,0.15,9598,385.95,0.0851
2000,50,0.15,22056,385.965,0.082
2000,50,0.15,27227,379.087,0.0817
2000,50,0.15,24219,382.737,0.0967
2000,50,0.15,17662,395.472,0.0999
2000,50,0.15,1885,396.052,0.0965
2000,50,0.15,25307,387.2,0.0851
2000,50,0.15,7935,393.52,0.0836
2000,50,0.15,7013,408.774,0.0981
2000,50,0.15,32176,419.885,0.09
2000,50,0.15,21134,422.922,0.1
2000,50,0.15,6694,398.955,0.0928
2000,50,0.15,1146,402.177,0.0889
2000,50,0.15,1817,405.464,0.1135
2000,50,0.15,27547,405.02,0.0855
10000,50,0.15,5488,458.99,0.2208
10000,50,0.15,20574,502.823,0.2149
10000,50,0.15,22574,459.108,0.2123
10000,50,0.15,20451,458.412,0.2173
10000,50,0.15,20617,467.075,0.2248
10000,50,0.15,6071,450.691,0.2058
10000,50,0.15,9598,451.98,0.2229
10000,50,0.15,22056,454.798,0.223
10000,50,0.15,27227,450.67,0.2101
10000,50,0.15,24219,458.343,0.2013
10000,50,0.15,17662,473.709,0.2085
10000,50,0.15,1885,455.218,0.2192
10000,50,0.15,25307,440.569,0.2033
10000,50,0.15,7935,450.27,0.2206
10000,50,0.15,3349,465.937,0.2255
10000,50,0.15,766,436.924,0.2358
10000,50,0.15,29223,441.891,0.2007
10000,50,0.15,28914,459.66,0.2186
10000,50,0.15,4844,470.649,0.2269
10000,50,0.15,2140,488.446,0.2077
10000,50,0.15,12959,457.702,0.2067
10000,100,0.15,27699,934.041,0.2006
10000,100,0.15,11126,948.891,0.1766
10000,100,0.15,15798,918.685,0.1774
10000,100,0.15,15374,903.059,0.1879
10000,100,0.15,29226,922.97,0.1782
10000,100,0.15,2844,903.36,0.188
10000,100,0.15,25191,911.035,0.197
10000,100,0.15,18927,928.504,0.1751
10000,100,0.15,19536,970.346,0.1867
10000,100,0.15,13122,1027.96,0.191
10000,100,0.15,16476,989.523,0.1973
10000,100,0.15,28334,961.184,0.1839
10000,100,0.15,20615,912.548,0.1946
10000,100,0.15,23417,986.484,0.1523
10000,100,0.15,21582,964.012,0.1728
10000,100,0.15,8934,1105.3,0.1698
10000,100,0.15,20469,991.967,0.1694
10000,100,0.15,17454,977.589,0.1684
10000,100,0.15,25475,968.167,0.1945
10000,100,0.15,1783,1006.12,0.1694
10000,100,0.15,30704,1028.11,0.1484
